lon,lat,alt,time,vel,moving,s,elapsed,asc,desc
-3.161673,51.09225,270.0,2019-08-03 10:33:53+00:00,14.37389794201983,1,0.35848751308615157,85.0,12.600000000000023,-7.2000000000000455
-3.161727,51.092272,270.0,2019-08-03 10:33:54+00:00,16.18722925150116,1,0.36298396565601304,86.0,12.600000000000023,-7.2000000000000455
-3.161769,51.092299,270.4,2019-08-03 10:33:55+00:00,15.182940838123644,1,0.36720144922215847,87.0,13.0,-7.2000000000000455
-3.161931,51.092347,270.8,2019-08-03 10:33:58+00:00,15.023334898399952,1,0.3797208949708251,90.0,13.400000000000034,-7.2000000000000455
-3.162044,51.092375,271.0,2019-08-03 10:34:00+00:00,15.27911093545418,1,0.3882092899349663,92.0,13.600000000000023,-7.2000000000000455
-3.1621,51.092391,271.0,2019-08-03 10:34:01+00:00,15.472032372988366,1,0.3925070767052409,93.0,13.600000000000023,-7.2000000000000455
-3.162281,51.092457,271.6,2019-08-03 10:34:04+00:00,17.55962373312221,1,0.4071400964828427,96.0,14.200000000000045,-7.2000000000000455
-3.162409,51.092514,271.8,2019-08-03 10:34:06+00:00,19.733547276541106,1,0.4181031783031433,98.0,14.400000000000034,-7.2000000000000455
-3.162627,51.092611,272.0,2019-08-03 10:34:10+00:00,16.79797595030115,1,0.43676759602570014,102.0,14.600000000000023,-7.2000000000000455
-3.162671,51.092635,272.0,2019-08-03 10:34:11+00:00,14.655846084723548,1,0.4408386643825678,103.0,14.600000000000023,-7.2000000000000455
-3.162715,51.092663,272.0,2019-08-03 10:34:12+00:00,15.752547438570415,1,0.44521437200439296,104.0,14.600000000000023,-7.2000000000000455
-3.162796,51.092729,272.2,2019-08-03 10:34:14+00:00,16.687381033366023,1,0.4544851392451519,106.0,14.800000000000011,-7.2000000000000455
-3.163046,51.09295,273.2,2019-08-03 10:34:21+00:00,15.515969827764627,1,0.4846550805769164,113.0,15.800000000000011,-7.2000000000000455
-3.163392,51.093107,274.2,2019-08-03 10:34:29+00:00,13.425899367954365,1,0.5144904125057039,121.0,16.80000000000001,-7.2000000000000455
-3.163575,51.093169,275.6,2019-08-03 10:34:33+00:00,13.13318057827613,1,0.5290828353704552,125.0,18.200000000000045,-7.2000000000000455
-3.163689,51.093211,276.8,2019-08-03 10:34:36+00:00,11.172394848064766,1,0.5383931644105091,128.0,19.400000000000034,-7.2000000000000455
-3.163853,51.093274,278.2,2019-08-03 10:34:40+00:00,12.152044276004451,1,0.5518954358282918,132.0,20.80000000000001,-7.2000000000000455
-3.163944,51.093316,279.2,2019-08-03 10:34:43+00:00,9.542323324334177,1,0.5598473719319037,135.0,21.80000000000001,-7.2000000000000455
